name,chip_num
ean organza Precious Nectar | 250] [Ratio Peacn [sae,???
Tear outer Bodary Precious Pears | 35) [Reval es Soe,Back
rane ute Space [ersinmon Presene 482 | [Rewal Rose Salina,Springs
Rican utewes Orange Peruvian ly reso ream [702] [rinses Salmon,pstean
ese Overcast Sy esto a4] [retyineik | 102] [Ryenms Sat,Box
ary oyster Pewter Pater PretyPeuna [143 | [Roe Bom Sat,Boxe
oe Pace ives Peri ila Pum Be 275 | [Roe Paper San Gabel,Bue
| mong Saeed ime Pik 150) | chiioney San Mel,Bue
ee aloe Pule [ermiveriom ——['484) [ich wary Sanctuary,Spa
aaa peso ee aa) [ema —st],fs
Mang See Natura Recianoe [ale Beacn || [eget,5
aa Natura Tan Fae Bares Pinch of Pear z incon Cove,Is
— ae Bossom 36 fig Pear,Sandra
Fae Cactus Fipe Peappe,Sandpit
Pale Eggotant fige Pum |,Sandstorm
Pa Fost Fie Purkin ancy,Beach
Pa Jade ver Funtan Sandy,toe
Pate Jose ver Ros,Sega
625 | {Sena Fe,Snrae
Pate Nectr 176 [SanaFe,Sunset
Pate Pear Roasted Squash =| Santa Fe,Tan
Pawar Rock’ Oak 569] | Sappire,Fog
Pate Sale Bock Rose 7 | [Sain,ust
Pa View acky Mountain Red Sein,Purse
ale Wheat Backy Rego {Sain,iboon
Palen Frond es Savannah,Sun
aim zl Rotini,Seale
am Soins Solath Roting Waves 356 | [Scart,Past
am Tee tach ice Geam_| 418 Roman ck | (Sade to —,???
PLEASE DO NOT REMOVE FROM,DISPLAY
perfect palette:,???
Find the Rack Locator Number (RL#) by using Color Name ),???
comnene,???
[Lavender Sweater |,168
Lazy Caterpitar | 359.,???
a0,728
joey,La
ke Corbuser Gush |,718
Hatt Moon Bay,Blush
ea6,ase
eat,???
Legendary,Parole
[Lemon Caiciinna |,???
Lemon Ghitfon Pe |,11F
Lemon,Geto
Lemonice,???
Lemon,???
Leriun,???
[Letit'snow,???
[beten,???
te,aate
LUpht,Aspiration
[ivy Enchanament |,???
Upht,Azure
Color Nae,Clore
wy Eipr,Joe
‘eae EnPlen,Ar
loser ck Eehared,EE
Desert Sape,Energy
Desens Encentog,ty
Dest Sr Ener,es
Dese Suede,Ende
Desened Path Ere,Orange
Dew Nat sud Ens,Fret
Dann Engl,Hoy
Djon mst English,River
Gass [Engin,Sone
oa pexe Envious,Past
Discreet ange | 260] |,Equesran
Distant Cious |,Equinox
stot ae 524] | Fsesso,Mancito
Dstaniouen | 63] [Essence,ott
sem tandscae | 62] [EssemalGioun,???
Dien 163 | [Even,Gown
Dockse 272 | [Evening,Sadow
Does sae] [Eventoe,???
[Dopioos 16] [eveneenFoes |,???
fodonn tabs | 687 | | cise,oxy
Doric mite 338] [faaicEvenng,???
Doe ans $56 |; [BxoticLiac,???
Dover Srats 182 | [Bxotclt,???
Dove's Wing 322] | neran,Orange
Down Fares Fae,tock
owing wo Earh Fade,Gray
Downpour Faded,Jeans
Draper Bay Fades,ght
Draw You Seed Fait,Gover
Fat,Soon
Faitank,Green
Faity,Oust
[Light,mist
[Light ofthe Moon |,???
ig,Pre
ght,Sorin
Cain,Bt
Lightning Bug,Ed
iy,a7
Lime Besson |,258
Lime,Peet
Lime,Ste
Lime,Sorbet
Lime,Tit
Linesie,???
[limestone,???
olyiced Galen ge nen,Spar
nen,We
ingeing ise | 278 |,???
ns Mane 238 |,???
"705, Lipstick",282
430 [ut,114
306 uieeawene |,46
4 Loch Ness,420
ae [bog atin asi],???
399 LondonFog |,428
676 Loney Reso,360
_ [tong Lake,87
528 Looking Glass,593
a7 Lovina aed |,596
ove a 10],???
Love eter,283
Love Potion 383.,???
Lucky Gover,219
Luminary,???
"""",???
> &>,???
ype,???
rfect palette:,???
id the Rack Locator Number (RL#) by using Co!,???
(Fin,???
aa,???
eC a a = i Color Name Ale Colo Name ALE Color Name n,ae
‘A Touch of Tan ma ties 258 | | ended he cis bees,Be
= s eee se] Ea Sun Bossa Nova Bue cinesSpce |,2
Acorn Squash ‘Nboretum tee) teentinc——1 S18) Btn ute _ 996) cera see| [camo Tos] [ec,???
imate 2 4 fee wmont Brown | 565 | [Boutique Beige | 509 | [Carbon Dating | 880 | | GayDust,348
clic Paraise 136 225 | [Boxwooa 690] [carboeancuse | 317] [Gay Pot,20
| Adirondack 532 | [Arizona Clay 751 796 | | Boysenberry Shad = |,6
AOL cal eee ae ysenbery Shadow | 60] | Carbou Hers Gay Trace “202 | i],???
ae ey is 18 | 203 | [Brandywine 445 | [Carmel Mision (Clean State 322] | GeamyStranbesry |,331
628 | [Armor 422) |Brassy zit | [camation (lear Day 72| [ovene de Menthe |,125
Adobe Avenue 288) [Armored Steel Belize Green 611] [Bread Crust 398) | Camival Night ‘Oear Skies 73) [creme,raione
‘Adobe South 642 | [Arrow Rock 401) [Ben Bue 661 | [Bread Puscing Carrara [Clear Vision 4|  |crése,Papier
‘Aegean Sea 319) [Antand Cratt 979 | | Beltiower 164 | | Break of Day Carrot Cake (Clearview,Geestine
iter Dinner Mint [263] [AvtticatTut | 170) [Below Zero 135 | | Breaklast Biscut Carved Wood [Ge 84 | [(Comson,Strate
After the Storm 318 | [Artistic Stone 583] |Berties'n’ Cream | 331 | | Breath of Spring Cascading Write | (itt Brown 662 | |,CrispLettuce
Afterglow. 115 | [Ans&cratsGod | 74] | Betty Frost 330) [Briar Cashew Nut i's View 598 | | Crisp,Musin
Aftemoon Sky 274) | Ash Gray | 654] [Berry Mojto (| 862| [Brick Fence (Cashmere [Cling iy 414] [Crocadie Smile |,???
Agate Green 562] [Ash Holow 546] |Beryricne | 384) | Bright Mango Castaway [cloned Grass 165.| [Crocode,Tears
Aged Eucalyptus | 408 | [Ashen Pum 596 | | Biwel Bue 848 | [Bight Star 116 | [Casting Stadow (loisterea Garden| 20] [Crossroads,???
Aged Jade 574] [Ashwood 525 | [Bidwell Brown 905 | | rian Beige 335 | | Casterock [coud 656} [Crown Point ream |,252
‘Aged Whisky 983 | [Asparagus Fern 166| [Big Stone Beacn [558] | Bronzed Brass 562] [Catalina ‘Clouded Vision 538 | [Crushed,Berries
‘A of Mit “[267 | [aspen sh 220) [Bgsu Bees [674] |Biowed ange | 388 | | clara Gen odes 736| [usted,cashew
‘Ajo.ily 46 [Aspenvelow | 658| [BjouxGieen | 577 | [Brooding stm [901 | [Cave ofthe Winds Cloudy Gray 489] [Crushes,Stone
‘Alabaster Al 137 | | Bila Tene 467 | | Brown Bear 569 | [Cavernous 327 | | Coysal,Be
lamede Ocwe | 779 319] [Biowing Gouts | 485 | [Biowneyes | 301 || Cedar rest [a7 | [Gystal,Gear
Alaskan Skies 28 719) [cr wnt 32| [rownum | | evar Gove z : 10 | [oyster,Fats
lspice 341 | [AugustMorning | 296} [Birchweod 659] [Brownwood Cedarville Coastal Breeze 74 | | Crystal,Haze
‘Aung Light 249 | [Autumn Bark 453| [scot ai | [Busted Cay Celery Cobalt 229 | | Cyst,Aver
segue fou] (mem —foxl foes foc} [oan som cme),ere
‘sinond 664 | [Autumn umber | 389] [ison Beige 49 | [Buckskin Cota Doot Cochise 605] [cuted,Rose
‘Ammond Cooke | 400 | [Avalon B49] [Bsquetan 506 | | euitlo Herd Cebit 916] [Cock Oe av] [coma,???
[Armond Late soa | [ater Are 251] | Biterswoet 759 | [Bumblebee Ceti Linen 619) [cocoa 674 | |,Gunidsarow
Amondine 342] [azure Sky 135 | [Black a76.| | Bungaiow Gas Center Ridge 572| | Gocoa Powder 28] [Damask,???
Ale Mist 264] [Baby chick 187 | [Black Bay 477) [Bungalow Tae — (craky 1666] [coconut srei | 568} [Dandelion,???
‘Aloe Pant ait | | Baby Frog 305 | [Black Bean 594 | [Bunny Tal Campagne 613| [Cotte Cream 346. | [Dangerous,Robot
aoa Sunset 388)| [Baby it jou] [BtckForst | 464 | [aura Champagne Bubbles | 966 | [Cognac 761 | —[Daople,Gay
[paca Wool 500 | [Baby eal sor] [BlackLees 585 | [Bumese Gao Champion Bue | 324 | [cow Moning 536 | [Darks Stor),???
[Alpine Moon 379) | Baby's Blanket 148 | | Black Peart 475 | [Burmese Tan ‘Chaparral 624] | Cold Water 529) [Dark,Cavern
Famaang Amat [541 | [Baby's Botom 106.| [BiackPoot 584 | | Busing Tomato (raps _ 546 | | Colwind 534] [Dark,Cnocoae
‘Amber Dawn 295 | [Baby's Breath 73] |BackRierFais | 478 | [Burnished Gream [Charcoal Biquette | 896 | | Colorado Peach 294) [Dark,Engine
[Amber Tide 151 Bachelor Blue 322 | [Black Russian 505] [Buns Cave Charcoal Dust 423] [Colorado Trait 556] [Dark,Lagoon
"rambrosialvoy | 337] | Baclands Sunset | 651 | [Black Souce 583,| [Buin Amond Charcoal Sreton [925 | [Concord Jam 326. | [Dark",Powter
Ameticana 10| [Baja white 608 | [BiackTie 500 | [Bunter Charcoal Smuge [592 | [Confident vetow | 206} [Dark,Ruby
‘Ametyst Show | 187 | [Bakes Potto 682 | |Back Wein 548 | [Burnt rmeon (haresion Grey | 708 | [Cooke Dough 49] [Dark,Sepia
‘kot “40)| [Bakeitevetow | 954] [lack 502 | [Bustot Goo (Gramed Green [218 | [C00 December 20 | [Dark,Shagows
Anchor Gray 586 | [Balot Suing sit] [Biancnesaimond | 339 | [Butter Letwee [cramming Chery | 148 | [Coot Frost 378 | | Davanao,Beige
"[Anchors Away 372| | Batedina 28) [Bank Camas 343,| | Bumtercram Frosing | 959) | Chanteuse 212 | [Copper Cove 298 | | Davanzo",Green
cient Earth 570] | Balet Stone 403 | [Biaing Asuna [204] [uteri 113 | | Cheesecake 113.| [Copper Lake 554] [ayy,???
"Fancient Serot___|-497 | [Bamboo Mat 352| [Blended ion 111 | [Buterseotch Seon [305 | [Chery Berry fa82,| [Copper inng | 752] —[Daystearing",u5
| angel Feathes [Bamboo Soreen 567 | | Bive Calico 882 | [By the Bayou 17) [Grey Blossoms | 280 | | Corai Bisque 336} [Daystar,250
|angeic Start Banana Cream 161 | | Bive Chip 482] | Cabaret 167 | [Cherry Bush 103} | Coral Cay 692 | [December Forest |,363
tian ( 2 | | Banana Peel 758} [Blue Cue 183 | [Cabbage Patcn 468} | Cherry Bomb 194 Comm Harvest 159 ‘December Sky,534
[Bank Vaut 504 | |Bive Earth 321 | | Calico Rock S72} | Cherry Chip. 288 | | Corntiower 162 | [Deco Gray “906,???
tique Chin } [Banner Goud 565 | [Bue intigue 429 | | Caitorria Dreamin’ | 701 | | Cherry Cola 445 | | Comsik Yellow 795 | | Deep Brown,550
(| [Bannister Brom | $49} | Blue Monday 865 | [Cetra Peach _| 776 | | Cherry i 264 | | Cottage Green 364 | | Deep Carnation,281
i 242 | jarely Pe | [Bive Moon 270 | | Cattornia Sagebrush | 810 | | Cherubic 236 | | conape wmnite ‘1 Deep Cora,200
8 a 7a | [Bue Pin sz) [cate iy 355| [Crestertrom [560 | [Coton da 40| [ee crimson,7
"| | 17 |_| Bue Review 323 [Cam waters 6a] | Chic Brick 354| [Coton Got 352] [Deep Hibscus,",285
[ 2S | oe is 2 362) | Coton Gun 728) |Dsepinine yng |,aia
: ! i intiear 276| | Conon Fie,520
ze =e,???
E = : i | [cation Ta r,ae
": , = ‘a saa pe 428,",???
