name,code,hex,detail_block,accent_friends,trim_friends,url
"HIPPOPOTAMUS","PPG0994-4","#A8AAA4","PPG0994-4
Hippopotamus is a midtone, warm, cloudy gray with a slate undertone.
It is a perfect paint color for surrounding lighter gray walls. Pair it with dark woods.
R: 167 G: 170 B: 165 LRV: 40
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/hippopotamus"
"STEEL CURTAIN","PPG0994-5","#9C9F99","PPG0994-5
Steel Curtain is a midtone, warm, cloudy gray with a slate undertone. It is a perfect paint color for surrounding lighter gray walls. Pair it with dark woods.
R: 155 G: 159 B: 154 LRV: 34
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/steel-curtain"
"HUSKY GRAY","PPG0994-6","#92958F","PPG0994-6
Husky Gray is a saturated, warm, slate gray with a smokey undertone. It is a perfect paint color for a modern exterior. Pair it with navy or black trim.
R: 145 G: 149 B: 145 LRV: 30
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/husky-gray"
"PENCILPOINT","PPG0994-7","#717572","PPG0994-7
Pencilpoint is a deep, warm, castle gray with a charcoal undertone. It is a perfect paint color for the trim of an exterior. Pair it with lighter grays.
R: 112 G: 117 B: 115 LRV: 17
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/pencilpoint"
"SHADED WHISPER","PPG0995-1","#E0DFDC","PPG0995-1
Shaded Whisper is a light, cool, cotton gray with a crisp undertone. It is a perfect paint color for main walls, interior or exterior. Pair it with off-white trim or add deeper shades of warm gray for contrast.
R: 224 G: 223 B: 221 LRV: 74
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","ALPACA WOOL (PPG14-19)","OATMEAL (PPG1023-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/shaded-whisper"
"ANCIENT CLOUD","PPG0995-2","#D2D1CD","PPG0995-2
Ancient Cloud is a light, cool, stormy gray with a cloudy undertone. It is a perfect paint color for an open floor plan. Pair it with any color of your choice.
R: 210 G: 209 B: 206 LRV: 64
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/ancient-cloud"
"SILVER BAND","PPG0995-3","#C7C6C2","PPG0995-3
Silver Band is a soft, cool, foggy gray with a cloudy undertone. It is a perfect paint color for a living room area. Pair it with white trim.
R: 199 G: 198 B: 195 LRV: 56
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/silver-band"
"PIGEON FEATHER","PPG0995-4","#B9B8B5","PPG0995-4
Pigeon Feather is a midtone, cool, stormy gray with a smokey undertone. It is a perfect paint color for all main walls, an accent wall or even just one side of a hallway. Pair it with white and showcase artwork or collections.
R: 185 G: 185 B: 183 LRV: 48
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/pigeon-feather"
"BURNISHED BLADE","PPG0995-5","#9F9F9D","PPG0995-5
Burnished Blade is a midtone, cool, cloudy gray with a slate undertone. It is a perfect paint color for surrounding lighter gray walls. Pair it with dark woods.
R: 158 G: 159 B: 158 LRV: 34
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/burnished-blade"
"CITY SKYLINE","PPG0995-6","#7B7A78","PPG0995-6
City Skyline is a saturated, cool, iron gray with a charcoal undertone. It is a perfect paint color to add a bit of drama to a room or as an accent wall. Pair it with soft whites and accents of gold for a well-balanced look.
R: 123 G: 122 B: 121 LRV: 20
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/city-skyline"
"STARLESS SKY","PPG0995-7","#3C3D3D","PPG0995-7
Starless Sky is a dark, cool, bat black with a true black undertone. It is a perfect paint color for an accent wall, trim or to add drama and elegance to cabinets or brick. Pair it with white for a clean look or with a pop of color to make it stand out.
R: 60 G: 61 B: 61 LRV: 5
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/starless-sky"
"SHINING SCALE","PPG0996-1","#DDDDD9","PPG0996-1
Shining Scale is a light, cool, veiled gray with a heather undertone. It is a perfect paint color for a main interior wall. Pair it with off-white and white trim.
R: 221 G: 221 B: 219 LRV: 72
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","THIN ICE (PPG1001-3); FLAGSTONE (PPG1001-4)","DELICATE WHITE (PPG1001-1); ARIA (PPG1001-2)","https://www.ppgpaints.com/color/color-families/grays/shining-scale"
"STEELY GAZE","PPG0996-2","#CDCCC9","PPG0996-2
Steely Gaze is a light, cool, icy gray with a heather undertone. It is a perfect paint color for dining room walls, kitchens and even laundry rooms. Pair it with black.
R: 205 G: 204 B: 202 LRV: 60
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","ALPACA WOOL (PPG14-19)","OATMEAL (PPG1023-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/steely-gaze"
"STATUE GARDEN","PPG0996-3","#A8A7A3","PPG0996-3
Statue Garden is a midtone, cool, true gray with an ash undertone. It is a perfect paint color for any interior or exterior project. Pair it with shades of lemony yellows for a mid-century look.
R: 167 G: 167 B: 164 LRV: 39
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/statue-garden"
"CLOUDY SLATE","PPG0996-4","#92928F","PPG0996-4
Cloudy Slate is a saturated, cool, slate gray with an ash undertone. It is a perfect paint color for a modern exterior. Pair it with navy or black trim.
R: 146 G: 146 B: 144 LRV: 29
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/cloudy-slate"
"STEAMSHIP","PPG0996-5","#81807E","PPG0996-5
Steamship is a saturated, cool, charcoal gray with an ash undertone. It is a perfect paint color to add a bit of drama to a room or as an accent wall. Pair it with soft whites and accents of gold for a well-balanced look.
R: 128 G: 128 B: 127 LRV: 22
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/steamship"
"SLATE MINE","PPG0996-6","#6F6F6E","PPG0996-6
Slate Mine is a deep, cool, charcoal gray with a pepper undertone. It is a perfect paint color for the trim of an exterior. Pair it with lighter grays.
R: 111 G: 111 B: 111 LRV: 16
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/slate-mine"
"SUMMER SHADOW","PPG0996-7","#5E5E5D","PPG0996-7
Summer Shadow is a deep, cool, chalkboard gray with a moody undertone. It is a perfect paint color for an accent wall. Pair it with lighter gray selections.
R: 94 G: 94 B: 93 LRV: 11
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/summer-shadow"
"ALLEGHENY RIVER","PPG0997-1","#D0CFC9","PPG0997-1
Allegheny River is a light, cool, dusty gray with a foggy undertone. It is a perfect paint color for an open floor plan. Pair it with any color of your choice.
R: 208 G: 207 B: 203 LRV: 62
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/allegheny-river"
"FELTED WOOL","PPG0997-2","#C4C3BD","PPG0997-2
Felted Wool is a soft, cool, dusty gray with a foggy undertone. It is a perfect paint color for an interior or exterior. Pair it with honeyed woods and blue accents.
R: 195 G: 196 B: 190 LRV: 55
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/felted-wool"
"FRESH GRANITE","PPG0997-3","#BBBAB5","PPG0997-3
Fresh Granite is a midtone, cool, stormy gray with a concrete undertone. It is a perfect paint color for all main walls, an accent wall or even just one side of a hallway. Pair it with white and showcase artwork or collections.
R: 186 G: 186 B: 182 LRV: 49
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/fresh-granite"
"PRECIPITATION","PPG0997-4","#ABACA6","PPG0997-4
Precipitation is a midtone, cool, cloudy gray with a greige undertone. It is a perfect paint color for surrounding lighter gray walls. Pair it with dark woods.
R: 171 G: 172 B: 167 LRV: 41
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/precipitation"
"PLAYING POSSUM","PPG0997-5","#969794","PPG0997-5
Playing Possum is a saturated, cool, slate gray with a greige undertone. It is a perfect paint color for a modern exterior. Pair it with navy or black trim.
R: 150 G: 151 B: 149 LRV: 31
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/playing-possum"
"INDUSTRIAL REVOLUTION","PPG0997-6","#7B7C7A","PPG0997-6
Industrial Revolution is a saturated, cool, charcoal gray with a greige undertone. It is a perfect paint color to add a bit of drama to a room or as an accent wall. Pair it with soft whites and accents of gold for a well-balanced look.
R: 123 G: 124 B: 123 LRV: 20
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/industrial-revolution"
"BLACK WIDOW","PPG0997-7","#575957","PPG0997-7
Black Widow is a deep, cool, chalkboard gray with a moody undertone. It is a perfect paint color for an accent wall. Pair it with lighter gray selections.
R: 87 G: 89 B: 88 LRV: 10
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/black-widow"
"COTTON TAIL","PPG0998-1","#F2F0E7","PPG0998-1
Cotton Tail is a light, true, clean white with a non-existent undertone. It is a perfect paint color for interior trim. Pair it with warm shades on other walls.
R: 242 G: 240 B: 233 LRV: 87
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","THIN ICE (PPG1001-3); FLAGSTONE (PPG1001-4)","DELICATE WHITE (PPG1001-1); ARIA (PPG1001-2)","https://www.ppgpaints.com/color/color-families/grays/cotton-tail"
"HIKERS PARADISE","PPG0998-2","#BFBAB0","PPG0998-2
Hikers Paradise is a soft, warm, modern greige with a neutral undertone. It is a perfect paint color for all main walls. Pair it with lighter greige-inspired colors.
R: 190 G: 187 B: 177 LRV: 49
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/hikers-paradise"
"KALISPELL","PPG0998-3","#AFABA1","PPG0998-3
Kalispell is a soft, warm, fresh greige with a neutral undertone. It is a perfect paint color for all main walls or any space. Pair it with deep teal accents.
R: 175 G: 171 B: 163 LRV: 41
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/kalispell"
"SHADOWY","PPG0998-4","#A19E97","PPG0998-4
Shadowy is a midtone, warm, cozy greige with a taupe undertone. It is a perfect paint color for a main wall or bedroom. Pair it with lighter tans and creams for a light and airy atmosphere.
R: 161 G: 158 B: 152 LRV: 34
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/shadowy"
"MT. RAINIER","PPG0998-5","#949089","PPG0998-5
Mt. Rainier is a saturated, warm, cozy greige with a taupe undertone. It is a perfect paint color for a sophisticated family room. Pair it with light aqua blue tones.
R: 148 G: 145 B: 138 LRV: 28
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/mt-rainier"
"ON THE EDGE","PPG0998-6","#7E7A74","PPG0998-6
On The Edge is a deep, warm, cozy greige with an earthy undertone. It is a perfect paint color for the exterior of your home. Pair it with white or black trim.
R: 125 G: 122 B: 117 LRV: 19
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/on-the-edge"
"UNDERCOVER","PPG0998-7","#5C5752","PPG0998-7
Undercover is a dark, warm, earthy black with a taupe undertone. It is a perfect paint color for a trendy exterior. Pair it with light neutral shades.
R: 92 G: 87 B: 83 LRV: 10
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/undercover"
"IN THE CLOUD","PPG0999-1","#DEDBD2","PPG0999-1
In The Cloud is a light, warm, seashell white with an ashen undertone. It is a perfect paint color for all interior walls. Pair it with white trim.
R: 222 G: 220 B: 211 LRV: 71
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/in-the-cloud"
"RABBIT'S EAR","PPG0999-2","#C7C2B7","PPG0999-2
Rabbit's Ear is a soft, warm, hygge greige with an ashen undertone. It is a perfect paint color for an interior or exterior. Pair it with honeyed woods and blue accents.
R: 199 G: 195 B: 185 LRV: 54
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/rabbit-s-ear"
"BOULDER CREEK","PPG0999-3","#B2ADA2","PPG0999-3
Boulder Creek is a soft, warm, snug greige with an ashen undertone. It is a perfect paint color for any space. Pair it with deep teal hues.
R: 178 G: 174 B: 163 LRV: 42
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","THIN ICE (PPG1001-3); FLAGSTONE (PPG1001-4)","DELICATE WHITE (PPG1001-1); ARIA (PPG1001-2)","https://www.ppgpaints.com/color/color-families/grays/boulder-creek"
"STEEPED TEA","PPG0999-4","#9A9387","PPG0999-4
Steeped Tea is a saturated, warm, cozy greige with an ashen undertone. It is a perfect paint color for the exterior of your home or front door to add curb appeal. Pair it with navy.
R: 153 G: 148 B: 136 LRV: 30
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","THIN ICE (PPG1001-3); FLAGSTONE (PPG1001-4)","DELICATE WHITE (PPG1001-1); ARIA (PPG1001-2)","https://www.ppgpaints.com/color/color-families/grays/steeped-tea"
"SWEATER WEATHER","PPG0999-5","#8B8376","PPG0999-5
Sweater Weather is a saturated, warm, cozy greige with an ashen undertone. It is a perfect paint color for an accent wall into a living room or as a home-theater room. Pair it with dusky plums and teals.
R: 138 G: 132 B: 120 LRV: 23
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/sweater-weather"
"STOLEN ROCK","PPG0999-6","#746E64","PPG0999-6
Stolen Rock is a deep, warm, grounding greige with an earthy undertone. It is a perfect paint color for the exterior of your home, a low-light accent wall or cabinetry for a kitchen or bath. Pair it with light gray to balance this deep color.
R: 116 G: 110 B: 101 LRV: 16
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/stolen-rock"
"DARK WOODS","PPG0999-7","#635F59","PPG0999-7
Dark Woods is a dark, warm, grounding greige with an earthy undertone. It is a perfect paint color for the exterior of your home or trim. Pair it with any color and substrate.
R: 99 G: 95 B: 90 LRV: 12
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/dark-woods"
"DUST BUNNY","PPG1000-1","#D1C9BC","PPG1000-1
Dust Bunny is a soft, warm, dusty greige with an almond undertone. It is a perfect paint color for open or private spaces or exterior trim. Pair it with deep greige.
R: 209 G: 202 B: 190 LRV: 59
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES","","","https://www.ppgpaints.com/color/color-families/grays/dust-bunny"
"ROCKY ROAD","PPG1000-2","#C2B9AC","PPG1000-2
Rocky Road is a light, warm, beachy greige with a khaki undertone. It is a perfect paint color for a main wall or on kitchen cabinets. Pair it with deep toned granite for a stunning room.
R: 194 G: 186 B: 173 LRV: 49
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/rocky-road"
"FIELDSTONE","PPG1000-3","#B1A89C","PPG1000-3
Fieldstone is a soft, warm, koala greige with a khaki undertone. It is a perfect paint color for any space. Pair it with deep teal hues.
R: 176 G: 169 B: 157 LRV: 40
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","THIN ICE (PPG1001-3); FLAGSTONE (PPG1001-4)","DELICATE WHITE (PPG1001-1); ARIA (PPG1001-2)","https://www.ppgpaints.com/color/color-families/grays/fieldstone"
"WINTER COCOA","PPG1000-4","#A19689","PPG1000-4
Winter Cocoa is a midtone, warm, cobblestone greige with a taupe undertone. It is a perfect paint color for an elegant appearance. Pair it with lighter sandy tones for an elegant appearance.
R: 161 G: 151 B: 139 LRV: 31
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/winter-cocoa"
